u,v,w
336,337,0.090747
336,361,0.397824
336,335,0.456836
336,311,0.548485
337,338,0.054566
337,362,0.352869
337,336,0.090747
337,312,0.484649
338,339,0.136481
338,363,0.385777
338,337,0.054566
338,313,0.430971
339,340,0.197283
339,364,0.433794
339,338,0.136481
339,314,0.288900
340,341,0.026302
340,365,0.502360
340,339,0.197283
340,315,0.177483
341,342,0.066679
341,366,0.455308
341,340,0.026302
341,316,0.110017
342,343,0.094069
342,367,0.378454
342,341,0.066679
342,317,0.126618
343,344,0.107845
343,368,0.349401
343,342,0.094069
343,318,0.146712
344,345,0.042654
344,369,0.364420
344,343,0.107845
344,319,0.086784
345,346,0.045571
345,370,0.310197
345,344,0.042654
345,320,0.033233
346,347,0.181887
346,371,0.262661
346,345,0.045571
346,321,0.062501
347,348,0.364913
347,372,0.208389
347,346,0.181887
347,322,0.029740
348,349,0.148168
348,373,0.154386
348,347,0.364913
348,323,0.154730
349,374,0.036238
349,348,0.148168
349,324,0.073316
350,351,0.106397
350,375,0.101056
350,325,0.096088
351,352,0.031022
351,376,0.186534
351,350,0.106397
351,326,0.131291
352,353,0.175011
352,377,0.133492
352,351,0.031022
352,327,0.037403
353,354,0.057542
353,378,0.160220
353,352,0.175011
353,328,0.056749
354,355,0.109720
354,379,0.199401
354,353,0.057542
354,329,0.120267
355,356,0.055614
355,380,0.264895
355,354,0.109720
355,330,0.133953
356,357,0.164859
356,381,0.286142
356,355,0.055614
356,331,0.124681
357,358,0.225857
357,382,0.234093
357,356,0.164859
357,332,0.155279
358,359,0.144827
358,383,0.170160
358,357,0.225857
358,333,0.179191
359,360,0.081356
359,384,0.157726
359,358,0.144827
359,334,0.593061
360,361,0.237421
360,385,0.147428
360,359,0.081356
360,335,0.616701
361,362,0.037559
361,386,0.154047
361,360,0.237421
361,336,0.397824
362,363,0.025340
362,387,0.172474
362,361,0.037559
362,337,0.352869
363,364,0.102470
363,388,0.166098
363,362,0.025340
363,338,0.385777
364,365,0.134528
364,389,0.103718
364,363,0.102470
364,339,0.433794
365,366,0.057879
365,390,0.070196
365,364,0.134528
365,340,0.502360
366,367,0.032652
366,391,0.077497
366,365,0.057879
366,341,0.455308
367,368,0.150464
367,392,0.085691
367,366,0.032652
367,342,0.378454
368,369,0.105264
368,393,0.158333
368,367,0.150464
368,343,0.349401
369,370,0.047093
369,394,0.221778
369,368,0.105264
369,344,0.364420
370,371,0.088843
370,395,0.211284
370,369,0.047093
370,345,0.310197
371,372,0.488913
371,396,0.184382
371,370,0.088843
371,346,0.262661
372,373,0.347573
372,397,0.089635
372,371,0.488913
372,347,0.208389
373,374,0.029668
373,398,0.012206
373,372,0.347573
373,348,0.154386
374,399,0.072618
374,373,0.029668
374,349,0.036238
375,376,0.027361
